Symbol,Name,,,,
TXG,10x Genomics Inc.,10x,"""10x Genomics Inc. (TXG)"":[""TXG"",""10x""],",,
ONEM,1Life Healthcare Inc.,1Life,"""1Life Healthcare Inc. (ONEM)"":[""ONEM"",""1Life""],",,
TWOU,2U Inc.,2U,"""2U Inc. (TWOU)"":[""TWOU"",""2U""],",,
DDD,3D Systems Corporation,3D,"""3D Systems Corporation (DDD)"":[""DDD"",""3D""],",,
MMM,3M Company,3M,"""3M Company (MMM)"":[""MMM"",""3M""],",,
EGHT,8x8 Inc,8x8,"""8x8 Inc (EGHT)"":[""EGHT"",""8x8""],",,
AOS,A.O. Smith Corporation,A.O.,"""A.O. Smith Corporation (AOS)"":[""AOS"",""A.O.""],",,
AAON,AAON Inc.,AAON,"""AAON Inc. (AAON)"":[""AAON"",""AAON""],",,
ABT,Abbott Laboratories,Abbott,"""Abbott Laboratories (ABT)"":[""ABT"",""Abbott""],",,
ABBV,AbbVie Inc.,AbbVie,"""AbbVie Inc. (ABBV)"":[""ABBV"",""AbbVie""],",,
ABCL,AbCellera Biologics Inc.,AbCellera,"""AbCellera Biologics Inc. (ABCL)"":[""ABCL"",""AbCellera""],",,
ANF,Abercrombie & Fitch Company,Abercrombie,"""Abercrombie & Fitch Company (ANF)"":[""ANF"",""Abercrombie""],",,
ABMD,ABIOMED Inc.,ABIOMED,"""ABIOMED Inc. (ABMD)"":[""ABMD"",""ABIOMED""],",,
ABM,ABM Industries Incorporated,ABM,"""ABM Industries Incorporated (ABM)"":[""ABM"",""ABM""],",,
ASO,Academy Sports and Outdoors Inc.,Academy,"""Academy Sports and Outdoors Inc. (ASO)"":[""ASO"",""Academy""],",,
ACHC,Acadia Healthcare Company Inc.,Acadia,"""Acadia Healthcare Company Inc. (ACHC)"":[""ACHC"",""Acadia""],",,
ACAD,ACADIA Pharmaceuticals Inc.,ACADIA,"""ACADIA Pharmaceuticals Inc. (ACAD)"":[""ACAD"",""ACADIA""],",,
XLRN,Acceleron Pharma Inc.,Acceleron,"""Acceleron Pharma Inc. (XLRN)"":[""XLRN"",""Acceleron""],",,
ACCD,Accolade Inc.,Accolade,"""Accolade Inc. (ACCD)"":[""ACCD"",""Accolade""],",,
ACIW,ACI Worldwide Inc.,ACI,"""ACI Worldwide Inc. (ACIW)"":[""ACIW"",""ACI""],",,
ATVI,Activision Blizzard Inc.,Activision,"""Activision Blizzard Inc. (ATVI)"":[""ATVI"",""Activision""],",,
AYI,Acuity Brands Inc.,Acuity,"""Acuity Brands Inc. (AYI)"":[""AYI"",""Acuity""],",,
GOLF,Acushnet Holdings Corp.,Acushnet,"""Acushnet Holdings Corp. (GOLF)"":[""GOLF"",""Acushnet""],",,
ACVA,ACV Auctions Inc.,ACV,"""ACV Auctions Inc. (ACVA)"":[""ACVA"",""ACV""],",,
ADX,Adams Diversified Equity Fund Inc.,Adams,"""Adams Diversified Equity Fund Inc. (ADX)"":[""ADX"",""Adams""],",,
AHCO,AdaptHealth Corp.,AdaptHealth,"""AdaptHealth Corp. (AHCO)"":[""AHCO"",""AdaptHealth""],",,
ADPT,Adaptive Biotechnologies Corporation,Adaptive,"""Adaptive Biotechnologies Corporation (ADPT)"":[""ADPT"",""Adaptive""],",,
ADBE,Adobe Inc.,Adobe,"""Adobe Inc. (ADBE)"":[""ADBE"",""Adobe""],",,
ADT,ADT Inc.,ADT,"""ADT Inc. (ADT)"":[""ADT"",""ADT""],",,
